No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,,,,,,,,,,,,,,,time 2,time 1,delay 1,delay 2,jiter
112,26.794318,74.125.68.190,192.168.100.10,TCP,54,443  >  50251 [ACK] Seq=1 Ack=582 Win=66816 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,26.812048,74.125.68.190,192.168.100.10,TLSv1.3,266,"Server Hello, Change Cipher Spec, Application Data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,26.820229,192.168.100.10,74.125.68.190,TLSv1.3,118,"Change Cipher Spec, Application Data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,26.821013,192.168.100.10,74.125.68.190,TLSv1.3,146,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,26.822442,192.168.100.10,74.125.68.190,TCP,1466,50251  >  443 [ACK] Seq=738 Ack=213 Win=66048 Len=1412 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,26.822469,192.168.100.10,74.125.68.190,TLSv1.3,585,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,26.841731,74.125.68.190,192.168.100.10,TCP,56,[TCP Previous segment not captured] 443  >  50251 [ACK] Seq=824 Ack=2681 Win=72448 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,26.848184,74.125.68.190,192.168.100.10,TCP,634,"[TCP Out-Of-Order] 443  >  50251 [PSH, ACK] Seq=213 Ack=646 Win=66816 Len=580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,26.848194,74.125.68.190,192.168.100.10,TCP,85,"[TCP Retransmission] 443  >  50251 [PSH, ACK] Seq=793 Ack=738 Win=66816 Len=31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,26.848195,74.125.68.190,192.168.100.10,TLSv1.3,501,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,26.848196,74.125.68.190,192.168.100.10,TLSv1.3,85,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,26.848473,192.168.100.10,74.125.68.190,TCP,54,50251  >  443 [ACK] Seq=2681 Ack=1302 Win=65024 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,26.851975,192.168.100.10,74.125.68.190,TLSv1.3,85,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,26.8617,74.125.68.190,192.168.100.10,TLSv1.3,93,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,26.8624,192.168.100.10,74.125.68.190,TLSv1.3,93,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,26.876335,74.125.68.190,192.168.100.10,TCP,56,443  >  50251 [ACK] Seq=1341 Ack=2712 Win=72448 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,26.881324,74.125.68.190,192.168.100.10,TCP,56,443  >  50251 [ACK] Seq=1341 Ack=2751 Win=72448 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,30.010947,fe80::ffff:ffff:fffe,ff02::2,ICMPv6,103,Router Solicitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,34.921423,192.168.100.10,69.171.250.60,TLSv1.2,85,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,34.94254,69.171.250.60,192.168.100.10,TCP,56,443  >  50231 [ACK] Seq=39 Ack=63 Win=246 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,35.191504,69.171.250.60,192.168.100.10,TLSv1.2,92,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,35.351841,69.171.250.60,192.168.100.10,TCP,92,"[TCP Retransmission] 443  >  50231 [PSH, ACK] Seq=39 Ack=63 Win=246 Len=38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,35.351975,192.168.100.10,69.171.250.60,TCP,66,50231  >  443 [ACK] Seq=63 Ack=77 Win=932 Len=0 SLE=39 SRE=77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,35.911873,69.171.250.60,192.168.100.10,TLSv1.2,160,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,36.07158,69.171.250.60,192.168.100.10,TCP,160,"[TCP Retransmission] 443  >  50231 [PSH, ACK] Seq=77 Ack=63 Win=246 Len=106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,36.071681,192.168.100.10,69.171.250.60,TCP,66,50231  >  443 [ACK] Seq=63 Ack=183 Win=932 Len=0 SLE=77 SRE=183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,36.112976,192.168.100.10,74.125.68.190,TLSv1.3,1389,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,36.131828,74.125.68.190,192.168.100.10,TCP,56,443  >  50251 [ACK] Seq=1341 Ack=4086 Win=75264 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
